,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000002413,279,895,135,206,561,821,186,155
ENSMUSG00000002416,382,420,90,135,182,234,155,192
ENSMUSG00000002428,250,639,88,176,661,801,284,235
ENSMUSG00000002455,486,857,278,495,687,845,382,416
ENSMUSG00000002458,43,70,14,24,392,554,60,67
ENSMUSG00000002459,2,0,2,1,5,4,2,4
ENSMUSG00000002475,1859,2303,571,653,158,139,800,742
ENSMUSG00000002477,314,321,83,116,407,500,313,390
ENSMUSG00000002486,51,160,13,19,244,330,68,68
ENSMUSG00000002489,39,78,24,25,240,297,46,28
ENSMUSG00000002496,402,1089,216,273,873,1364,345,335
ENSMUSG00000002500,34,56,1,1,11,8,2,1
ENSMUSG00000002504,624,942,175,201,7374,8827,202,270
ENSMUSG00000002524,1166,1416,437,554,1409,2003,723,787
ENSMUSG00000002546,292,882,178,207,787,1002,524,439
ENSMUSG00000002550,1049,1450,258,322,559,767,610,579
ENSMUSG00000002565,408,723,3,7,25,8,1244,1063
ENSMUSG00000002578,11,33,3,19,51,113,7,11
ENSMUSG00000002580,739,737,171,188,288,369,335,293
ENSMUSG00000002588,47,6,10880,12446,746,1133,6,6
ENSMUSG00000002602,152,256,127,183,1090,1422,149,127
ENSMUSG00000002603,105,131,55,73,937,1324,138,148
ENSMUSG00000002608,275,533,125,136,469,647,310,299
ENSMUSG00000002617,55,176,16,27,189,204,43,42
ENSMUSG00000002625,282,1255,336,434,1272,1857,412,361
ENSMUSG00000002633,6,16,2,0,83,105,5,1
ENSMUSG00000002635,256,326,80,122,280,355,143,147
ENSMUSG00000002658,362,488,98,170,482,636,565,561
ENSMUSG00000002660,1084,1268,381,464,363,500,306,345
ENSMUSG00000002661,289,263,77,89,94,155,120,124
ENSMUSG00000002664,5,3,0,0,3,6,9,7
ENSMUSG00000002668,96,154,27,46,316,459,263,200
ENSMUSG00000002679,141,183,46,114,257,331,213,172
ENSMUSG00000002688,84,190,43,29,333,343,19,24
ENSMUSG00000002699,0,0,0,0,0,0,0,0
ENSMUSG00000002718,524,905,262,314,674,952,468,402
